        ,WALNUT    ,EXPENSE                                             ,REPORT    ,                     ,       ,             ,                            ,
22-04-16,07:33 AM  ,NET BANKING                                         ,"5,000"   ,Indian Bnk  1311     ,No     ,OTHER        ,                            ,Ref No. 611307003638
22-04-16,08:08 AM  ,ATM                                                 ,500       ,Indian Bnk debit 8131,Yes    ,             ,                            ,
23-04-16,02:14 PM  ,METRO RECHARGE                                      ,100       ,CASH Spends          ,No     ,BILLS        ,                            ,
23-04-16,02:14 PM  ,MCDONALDS SCHZWAN BURGER                            ,200       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
23-04-16,02:15 PM  ,BEER WITH RD                                        ,100       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
24-04-16,11:48 AM  ,MYNTRA SHOPING                                      ,335       ,Indian Bnk debit 8131,Yes    ,SHOPPING     ,#Online                     ,Breakbounce tshirt
24-04-16,09:31 PM  ,SUBWAY                                              ,150       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
24-04-16,09:32 PM  ,HAIR CUT                                            ,100       ,CASH Spends          ,No     ,HEALTH       ,                            ,
24-04-16,09:38 PM  ,MYNTRA SHOPPING                                     ,895       ,Indian Bnk  1311     ,Yes    ,SHOPPING     ,#Online                     ,
28-04-16,08:00 PM  ,MOBIKWIK NE                                         ,207       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
30-04-16,08:27 PM  ,ATM                                                 ,"1,200"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-05-16,06:13 PM  ,WWW.MOBIKWIK.COM 01                                 ,521       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
03-05-16,10:17 PM  ,"TANG, BISCUITS"                                    ,220       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-05-16,08:11 PM  ,SNACKS                                              ,40        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-05-16,08:20 PM  ,NET BANKING                                         ,"1,400"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 612720178837
07-05-16,03:23 PM  ,LUNCH                                               ,70        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
07-05-16,05:27 PM  ,WWW.MOBIKWIK.COM 01                                 ,324       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
10-05-16,09:26 PM  ,MAKEMYTRIP                                          ,"8,027"   ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
10-05-16,10:49 PM  ,MOBIKWIK GU                                         ,100       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
12-05-16,12:31 AM  ,NET BANKING                                         ,"6,000"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 613300324360
14-05-16,11:50 AM  ,MOBIKWIK GU                                         ,328       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
18-05-16,09:37 PM  ,WWW.MOBIKWIK.COM 01                                 ,300       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
21-05-16,11:18 PM  ,NET BANKING                                         ,240       ,CitiBank  3226       ,Yes    ,FOOD & DRINKS,                            ,IMPS Ref no 614223523759
25-05-16,08:58 PM  ,OLA                                                 ,137       ,OlaCab Messages      ,No     ,UNKNOWN      ,                            ,
28-05-16,03:52 PM  ,MOBIKWIK GU                                         ,234       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
29-05-16,12:42 PM  ,PUMA                                                ,174       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,                            ,
29-05-16,01:09 PM  ,ATM                                                 ,"1,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
29-05-16,02:00 PM  ,ONE97 COMCTN-PAYTM                                  ,450       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
31-05-16,10:45 PM  ,NET BANKING                                         ,"1,400"   ,CitiBank  3226       ,No     ,UNKNOWN      ,                            ,IMPS Ref no 615222804367
31-05-16,10:51 PM  ,MOBIKWIK GU                                         ,280       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-06-16,10:29 PM  ,OLA                                                 ,337       ,OlaCab Messages      ,Yes    ,TRAVEL       ,#Online                     ,
05-06-16,06:30 PM  ,MOBIKWIK GU                                         ,237       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
05-06-16,08:24 PM  ,ATM                                                 ,"1,600"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
08-06-16,09:03 PM  ,MOBIKWIK GU                                         ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
09-06-16,05:38 PM  ,ATM                                                 ,"2,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
10-06-16,05:07 PM  ,OLA                                                 ,129       ,OlaCab Messages      ,No     ,UNKNOWN      ,                            ,
10-06-16,05:24 PM  ,OLA                                                 ,117       ,OlaCab Messages      ,No     ,UNKNOWN      ,                            ,
10-06-16,06:42 PM  ,OLA                                                 ,427       ,OlaCab Messages      ,No     ,TRAVEL       ,#Online                     ,
11-06-16,08:17 AM  ,PAYU SB                                             ,"1,699.84",CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
15-06-16,08:21 PM  ,ATM                                                 ,"4,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
