        ,WALNUT    ,EXPENSE                                             ,REPORT    ,                     ,       ,             ,                            ,
13-11-16,08:43 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,350       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
15-11-16,07:35 PM  ,OLA CABS                                            ,500       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
17-11-16,11:21 PM  ,8800897217                                          ,390       ,Airtel Money  Unknown,No     ,BILLS        ,                            ,
17-11-16,11:21 PM  ,BHARTI AIRTEL                                       ,350       ,CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,Bill pay
18-11-16,12:00 PM  ,CREDIT CREDIT PAY                                   ,"12,000"  ,CASH Spends          ,Yes    ,BILLS        ,                            ,
18-11-16,08:39 PM  ,BHARTI AIRTEL                                       ,427       ,CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,Domino's pizza for sis
19-11-16,10:32 PM  ,DUE                                                 ,500       ,CASH Spends          ,No     ,TRANSFER     ,                            ,
20-11-16,02:39 PM  ,NET BANKING                                         ,"3,400"   ,Indian Bnk  1311     ,No     ,TRANSFER     ,                            ,Ref No. 632514198447
21-11-16,12:00 PM  ,DINNER                                              ,60        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
25-11-16,08:45 PM  ,THE POST OFFICE CAFE                                ,"1,572"   ,CitiBank credit 3486 ,No     ,FOOD & DRINKS,                            ,
26-11-16,03:08 PM  ,OLA CABS                                            ,60        ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
28-11-16,09:02 AM  ,AMAZON                                              ,"9,999"   ,CitiBank credit 3486 ,No     ,SHOPPING     ,#Online                     ,Ankurs note 3
29-11-16,07:20 PM  ,RELIANCE FRESH                                      ,119.95    ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
01-12-16,06:48 AM  ,NET BANKING                                         ,"2,100"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 633606775049
01-12-16,07:01 AM  ,CREDIT CARD PAY                                     ,"6,842"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
02-12-16,08:56 PM  ,PAYTM NO                                            ,235       ,CitiBank debit 6302  ,No     ,GROCERIES    ,#Online                     ,
02-12-16,08:57 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,"1,000"   ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-12-16,09:10 PM  ,AMANDEEP SINGH                                      ,165       ,PAYTM  Unknown       ,No     ,GROCERIES    ,                            ,Night out snacks
03-12-16,08:11 AM  ,UBER                                                ,92.86     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
03-12-16,06:40 PM  ,NET BANKING                                         ,"1,400"   ,CitiBank  3226       ,Yes    ,FOOD & DRINKS,                            ,IMPS Ref no 633318542213
04-12-16,11:41 AM  ,OLA                                                 ,198       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
04-12-16,11:42 AM  ,OLA CABS                                            ,500       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
04-12-16,05:03 PM  ,UBER                                                ,60.35     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
04-12-16,10:26 PM  ,OLA                                                 ,103       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
05-12-16,06:59 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-12-16,03:48 PM  ,NET BANKING                                         ,"1,000"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 634115078348 to Abhijeet
06-12-16,09:07 PM  ,SUBHASH MEDIWAYS DE                                 ,490       ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,                            ,
06-12-16,09:17 PM  ,KRISHNAN DAIRY DE                                   ,150       ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,                            ,
07-12-16,07:00 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
07-12-16,07:06 PM  ,JANKI VAISHNO DHABA J.V.D                           ,30        ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,
07-12-16,10:51 PM  ,PAYTM NO                                            ,"3,485"   ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,#Online                     ,Flight ticket
07-12-16,11:08 PM  ,CLEARING BALANCE                                    ,"6,800"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
08-12-16,07:41 PM  ,8800897217                                          ,241       ,Airtel Money  Unknown,No     ,BILLS        ,                            ,
08-12-16,07:41 PM  ,BHARTI AIRTEL                                       ,196       ,CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,
12-12-16,06:50 PM  ,KATI ROLL COTTAGE                                   ,140       ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,
13-12-16,08:54 PM  ,LIFESTYLE                                           ,"2,595"   ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,                            ,
15-12-16,03:42 PM  ,HP PETROL PUMP - KAMLESH HP CENTRE                  ,20        ,PAYTM  Unknown       ,No     ,FUEL         ,                            ,
15-12-16,05:33 PM  ,PROMPT STATIONERS                                   ,368       ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,                            ,
15-12-16,09:59 PM  ,PAYTM                                               ,"1,078.47",CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
15-12-16,10:04 PM  ,DINNER                                              ,310       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
15-12-16,10:09 PM  ,ROUGE ONE IMAX                                      ,884       ,CASH Spends          ,No     ,ENTERTAINMENT,                            ,
15-12-16,10:15 PM  ,KATI ROLL COTTAGE                                   ,300       ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,
17-12-16,10:29 PM  ,LOGIX CITY CENTRE                                   ,477.07    ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
17-12-16,10:30 PM  ,BURGER KING                                         ,127       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
21-12-16,07:11 PM  ,ATM                                                 ,"2,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
21-12-16,07:14 PM  ,HDFC BANK ATM                                       ,"2,500"   ,CitiBank credit 3486 ,Yes    ,BILLS        ,                            ,
22-12-16,12:00 PM  ,GARBAGE BAGS                                        ,60        ,CASH Spends          ,No     ,GROCERIES    ,                            ,
22-12-16,06:56 PM  ,RELIANCE                                            ,110.74    ,CitiBank debit 6302  ,Yes    ,INVESTMENT   ,#Online                     ,
23-12-16,05:31 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
24-12-16,12:21 PM  ,KRISHNAN DAIRY DE                                   ,265       ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
25-12-16,05:11 AM  ,APPLE ITUNES                                        ,120       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,
26-12-16,08:23 AM  ,CITRUS PAY GO                                       ,99        ,CitiBank credit 3486 ,Yes    ,BILLS        ,                            ,
26-12-16,01:15 PM  ,FREECHARGE                                          ,"1,000"   ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
26-12-16,07:49 PM  ,ELECTRICITY BILL                                    ,"1,000"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
27-12-16,06:12 AM  ,ANKIT SHARE                                         ,350       ,CASH Spends          ,No     ,TRANSFER     ,                            ,
27-12-16,10:58 PM  ,BOOKMYSHOW                                          ,284.5     ,CitiBank credit 3486 ,Yes    ,ENTERTAINMENT,#Online                     ,
28-12-16,03:19 PM  ,PAYTM.COM                                           ,200       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
28-12-16,03:38 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,600       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
28-12-16,04:09 PM  ,UBER                                                ,100       ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
28-12-16,05:35 PM  ,NET BANKING                                         ,"5,600"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 636317907495
29-12-16,01:18 PM  ,UBER                                                ,117.02    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
29-12-16,01:49 PM  ,STORE 99                                            ,132       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,                            ,
29-12-16,01:58 PM  ,BURGER KING                                         ,93        ,CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,                            ,
29-12-16,02:27 PM  ,UBER                                                ,60        ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
29-12-16,03:35 PM  ,UBER                                                ,114.35    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
30-12-16,10:40 AM  ,MAKEMYTRIP                                          ,"1,380"   ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
30-12-16,12:31 PM  ,UBER                                                ,60        ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
30-12-16,08:17 PM  ,LONAWLA RESTAURANT                                  ,"1,280"   ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
31-12-16,12:19 PM  ,OLA                                                 ,135       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
31-12-16,12:29 PM  ,OLA CABS                                            ,133       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
31-12-16,07:34 PM  ,OLA                                                 ,293       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
31-12-16,07:34 PM  ,OLA CABS                                            ,200       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
01-01-17,02:15 PM  ,SHELL PETROL PUMP                                   ,57        ,CitiBank debit 6302  ,Yes    ,FUEL         ,                            ,
01-01-17,10:31 PM  ,UBER                                                ,178.49    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
02-01-17,09:55 AM  ,PAYTM APP NO                                        ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-01-17,03:06 PM  ,OLA CABS                                            ,200       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
02-01-17,03:33 PM  ,OLA                                                 ,90        ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
03-01-17,06:34 PM  ,MAKEMYTRIP                                          ,"6,327"   ,CitiBank credit 3486 ,Yes    ,TRAVEL       ,#Online                     ,
03-01-17,09:03 PM  ,OLA                                                 ,46        ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
03-01-17,09:27 PM  ,UBER                                                ,119.76    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
04-01-17,10:36 AM  ,OLA CABS                                            ,100       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
04-01-17,11:13 AM  ,OLA                                                 ,42        ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
04-01-17,11:18 AM  ,APOLLO HOSPITALS                                    ,447.5     ,CitiBank credit 3486 ,Yes    ,HEALTH       ,#Online                     ,
04-01-17,08:58 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-01-17,02:19 PM  ,ATM                                                 ,"4,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
05-01-17,07:49 PM  ,SPICEJET LIMITED                                    ,"2,450"   ,CitiBank credit 3486 ,Yes    ,TRAVEL       ,#Online                     ,
05-01-17,09:39 PM  ,ROLLS                                               ,210       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-01-17,08:53 PM  ,OLA                                                 ,124       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
06-01-17,09:15 PM  ,UBER                                                ,120.5     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
06-01-17,09:21 PM  ,8800897217                                          ,358       ,Airtel Money  Unknown,No     ,BILLS        ,                            ,
06-01-17,09:21 PM  ,AIRTELMONEY                                         ,346       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
06-01-17,10:00 PM  ,9999194627                                          ,35        ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,
07-01-17,12:00 PM  ,MAID                                                ,100       ,CASH Spends          ,No     ,BILLS        ,                            ,
08-01-17,06:49 PM  ,RENT AMOUNT TRANSFERRED                             ,"6,500"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
09-01-17,08:20 PM  ,PAYTM APP NO                                        ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
09-01-17,09:22 PM  ,OLA                                                 ,77        ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
11-01-17,10:17 PM  ,UBER                                                ,98.72     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
16-01-17,09:43 PM  ,FREECHARGE                                          ,331       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
17-01-17,05:56 AM  ,OLA CABS                                            ,500       ,CitiBank credit 3486 ,Yes    ,TRAVEL       ,#Online                     ,
17-01-17,08:39 AM  ,PAYTM NO                                            ,300       ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,#Online                     ,
17-01-17,08:43 AM  ,FREECHARGE                                          ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
19-01-17,09:38 PM  ,KWALITY DHABA NE                                    ,360       ,CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,                            ,
21-01-17,11:48 AM  ,FREECHARGE                                          ,568       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
21-01-17,12:02 PM  ,FREECHARGE                                          ,358       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
22-01-17,02:49 PM  ,DUE PAYMENT                                         ,"1,500"   ,CASH Spends          ,Yes    ,TRANSFER     ,                            ,Dues of internet bill paid by harshit
22-01-17,10:15 PM  ,UBER                                                ,211.2     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
23-01-17,12:24 AM  ,UBER                                                ,158.1     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
24-01-17,12:00 PM  ,DUE PAYMENT                                         ,"1,500"   ,CASH Spends          ,Yes    ,TRANSFER     ,                            ,
29-01-17,08:16 AM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
30-01-17,09:08 PM  ,UBER                                                ,81.83     ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
31-01-17,06:37 AM  ,APPLE ITUNES                                        ,60        ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
01-02-17,08:16 AM  ,SAURABH KUMAR                                       ,"5,600"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,Ref No CITIN17739514040
01-02-17,08:35 AM  ,AMAZON                                              ,"3,316.1" ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
02-02-17,08:44 PM  ,MOBILE/WALLET RECHAR                                ,"5,000"   ,CitiBank credit 3486 ,Yes    ,ENTERTAINMENT,#Online                     ,
02-02-17,09:33 PM  ,BIJLI                                               ,"2,670"   ,CASH Spends          ,No     ,BILLS        ,                            ,
02-02-17,09:34 PM  ,JAL                                                 ,683.5     ,CASH Spends          ,No     ,BILLS        ,                            ,
02-02-17,09:39 PM  ,TRANSFER FOR RENT                                   ,"5,000"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
02-02-17,09:41 PM  ,PAID HARSHIT                                        ,"2,297.91",CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,Three
02-02-17,10:11 PM  ,9717903129                                          ,900       ,PAYTM  Unknown       ,No     ,TRANSFER     ,                            ,Ankurs debt
03-02-17,03:28 PM  ,8826589012                                          ,225       ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,Magnum ice cream
04-02-17,07:28 AM  ,UBER                                                ,1         ,CitiBank credit 3486 ,Yes    ,TRAVEL       ,#Online                     ,
04-02-17,08:51 AM  ,UBER                                                ,232.56    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,Howrah to airport
04-02-17,11:28 AM  ,PAYU                                                ,908       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
04-02-17,05:13 PM  ,UBER                                                ,49        ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
04-02-17,08:22 PM  ,UBER                                                ,49        ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
05-02-17,08:09 AM  ,FRUIT SALAD                                         ,60        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-02-17,05:11 PM  ,DEBIT                                               ,"7,100"   ,SBI  XXXX            ,No     ,UNKNOWN      ,                            ,RD0000002427435
05-02-17,08:48 PM  ,WWW ACCOUNT FREECHARGE GURGAON IND                  ,120       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,#Online                     ,
08-02-17,09:22 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
10-02-17,10:31 PM  ,AIRTELMONEY                                         ,225       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
12-02-17,01:50 AM  ,AMAZON                                              ,2         ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
14-02-17,10:10 PM  ,UBER                                                ,154.57    ,CitiBank credit 3486 ,Yes    ,TRAVEL       ,#Online                     ,
18-02-17,10:08 AM  ,NET BANKING                                         ,"5,000"   ,SBI  4251            ,No     ,BILLS        ,                            ,IMPS Ref no 704910707623
19-02-17,09:29 AM  ,AMAZON                                              ,171       ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
20-02-17,12:00 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
20-02-17,07:21 PM  ,PAYTM MOBILE SOLUTIO                                ,500       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
20-02-17,07:24 PM  ,9717903129                                          ,350       ,PAYTM  Unknown       ,No     ,TRANSFER     ,                            ,Transfer to ankur
23-02-17,12:00 PM  ,ROLLS                                               ,100       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
24-02-17,06:54 PM  ,ONE97COMM_PAYTM                                     ,500       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,Bijli
28-02-17,12:00 PM  ,LOGAN IMAX                                          ,610       ,CASH Spends          ,No     ,ENTERTAINMENT,                            ,
28-02-17,04:13 PM  ,NET BANKING                                         ,"5,000"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 705916528566
28-02-17,07:21 PM  ,ATM                                                 ,"10,000"  ,CitiBank debit 3226  ,No     ,             ,                            ,
28-02-17,11:18 PM  ,PAYTM                                               ,719       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
01-03-17,08:06 AM  ,SAURABH KUMAR                                       ,"5,600"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,Ref No CITIN17750089686
01-03-17,12:00 PM  ,MEDICINES                                           ,500       ,CASH Spends          ,No     ,HEALTH       ,                            ,
01-03-17,07:15 PM  ,ATM                                                 ,"2,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-03-17,07:17 PM  ,ATM                                                 ,"1,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-03-17,07:18 PM  ,ATM                                                 ,"7,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
02-03-17,07:18 PM  ,AMAZON                                              ,515.2     ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
04-03-17,08:34 PM  ,PAYTM.COM                                           ,700       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
04-03-17,08:44 PM  ,9717903129                                          ,400       ,PAYTM  Unknown       ,No     ,TRANSFER     ,                            ,To ankur
05-03-17,06:55 AM  ,RELIANCEJIO                                         ,99        ,CitiBank credit 3486 ,Yes    ,OTHER        ,#Online                     ,
05-03-17,12:05 PM  ,DEBIT                                               ,"7,100"   ,SBI  XXXX            ,No     ,INVESTMENT   ,                            ,RD0000002427435
07-03-17,07:51 PM  ,OLA CABS                                            ,20        ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
08-03-17,06:36 PM  ,BHARTI AIRTEL                                       ,276       ,CitiBank credit 3486 ,Yes    ,BILLS        ,                            ,
08-03-17,09:26 PM  ,SUBHASH MEDICALS (SINCE 1996)                       ,180       ,CitiBank credit 3486 ,Yes    ,HEALTH       ,                            ,
09-03-17,08:50 AM  ,UBER                                                ,178.45    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
09-03-17,09:29 AM  ,KFC                                                 ,263       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,Airport breakfast
20-03-17,12:00 PM  ,CASH SPENT                                          ,130       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
23-03-17,12:03 AM  ,AMAZON                                              ,440       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,Camera battery
24-03-17,08:48 PM  ,PAYTM MOBILE SOLUTIO                                ,270       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
25-03-17,12:00 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
26-03-17,12:00 PM  ,DINNER                                              ,100       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
30-03-17,08:52 PM  ,IGNOU EGYANKOSH                                     ,605.1     ,CitiBank credit 3486 ,Yes    ,INVESTMENT   ,                            ,Examination form
31-03-17,07:32 AM  ,FREECHARGE                                          ,66        ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,Amrita s recharge
31-03-17,08:50 AM  ,PAYTM MOBILE SOLUTIO                                ,499.45    ,CitiBank credit 3486 ,No     ,BILLS        ,#Online                     ,
01-04-17,09:45 AM  ,BIJLI                                               ,450       ,CASH Spends          ,Yes    ,BILLS        ,                            ,Electricity bill
01-04-17,11:03 AM  ,NET BANKING                                         ,"7,780"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 709111040782
01-04-17,12:00 PM  ,MACBOOK PAYOFF                                      ,"19,500"  ,CASH Spends          ,Yes    ,SHOPPING     ,                            ,
02-04-17,07:16 PM  ,WATER                                               ,90        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
02-04-17,07:18 PM  ,PAYTM.COM                                           ,282.51    ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,Water bill
03-04-17,09:21 PM  ,8800897217                                          ,10        ,Airtel Money  Unknown,No     ,BILLS        ,                            ,
04-04-17,08:25 PM  ,TRANSFERRED FOR RENT                                ,"6,200"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
05-04-17,11:26 AM  ,DEBIT                                               ,"7,100"   ,SBI  XXXX            ,No     ,TRANSFER     ,                            ,RD0000002427435
07-04-17,09:48 PM  ,"DISH SOAP, HAND WASH"                              ,76        ,CASH Spends          ,No     ,GROCERIES    ,                            ,
07-04-17,09:49 PM  ,HAIR CUT                                            ,150       ,CASH Spends          ,No     ,HEALTH       ,                            ,
08-04-17,07:51 PM  ,RELIANCE FRESH                                      ,205.49    ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
09-04-17,12:24 PM  ,MAID                                                ,150       ,CASH Spends          ,Yes    ,BILLS        ,                            ,
10-04-17,09:37 AM  ,PAYTM MOBILE SOLUTIO                                ,500       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
10-04-17,06:57 PM  ,RELIANCE FRESH                                      ,174.48    ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
10-04-17,09:44 PM  ,AMAZON                                              ,799.2     ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,#Online                     ,Shampoo
12-04-17,06:42 PM  ,RELIANCE FRESH                                      ,72.7      ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
12-04-17,08:57 PM  ,ATM                                                 ,"1,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
14-04-17,08:10 PM  ,THE FEAST HOUSE                                     ,617       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
14-04-17,09:40 PM  ,FREECHARGE                                          ,125       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
16-04-17,11:02 AM  ,"BATHROOM FRESHNER, WATER BISLERI"                  ,145       ,CASH Spends          ,No     ,GROCERIES    ,                            ,
16-04-17,02:40 PM  ,RELIANCE FRESH                                      ,210.88    ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
16-04-17,07:56 PM  ,PAYTM                                               ,46        ,CitiBank credit 3486 ,No     ,BILLS        ,#Online                     ,
16-04-17,08:44 PM  ,KFC                                                 ,"1,436"   ,CitiBank credit 3486 ,No     ,FOOD & DRINKS,                            ,
18-04-17,08:40 PM  ,ODEON SOCIAL                                        ,385       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
20-04-17,06:40 PM  ,ATM                                                 ,700       ,CitiBank debit 3226  ,Yes    ,             ,                            ,
20-04-17,06:56 PM  ,RELIANCE FRESH                                      ,148.76    ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
21-04-17,07:41 AM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
24-04-17,06:56 PM  ,RELIANCE FRESH                                      ,92.61     ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
26-04-17,08:39 PM  ,ELECTRICITY BILL                                    ,370       ,CASH Spends          ,No     ,BILLS        ,                            ,
26-04-17,08:41 PM  ,MOMO                                                ,32.5      ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
27-04-17,07:11 AM  ,WWW AIRTEL IN                                       ,345       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
27-04-17,06:52 PM  ,RELIANCE FRESH                                      ,335       ,CitiBank credit 3486 ,Yes    ,GROCERIES    ,                            ,
27-04-17,07:09 PM  ,GROCERY                                             ,75.5      ,CASH Spends          ,No     ,GROCERIES    ,                            ,
28-04-17,09:38 PM  ,NET BANKING                                         ,"30,000"  ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 711821694464
29-04-17,06:10 AM  ,NET BANKING                                         ,"1,980"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 711906919677
01-05-17,02:48 PM  ,MACBOOK PAYOFF                                      ,"30,000"  ,CASH Spends          ,Yes    ,SHOPPING     ,                            ,
01-05-17,06:43 PM  ,ATM                                                 ,"7,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
05-05-17,09:34 AM  ,PAYTM                                               ,240       ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,Paytm order# 3187337349
05-05-17,11:00 AM  ,DEBIT                                               ,"7,100"   ,SBI  XXXX            ,No     ,INVESTMENT   ,                            ,RD0000002427435
06-05-17,01:44 AM  ,UBER                                                ,340.87    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
07-05-17,10:54 AM  ,ATM                                                 ,"2,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
09-05-17,09:47 PM  ,PAYTM MOBILE SOLUTIONS                              ,10        ,SBI debit 1155       ,Yes    ,BILLS        ,#Online                     ,470000000218923
12-05-17,09:00 PM  ,AMRITA ARORA                                        ,300       ,PhonePe  Unknown     ,Yes    ,TRANSFER     ,                            ,
12-05-17,09:05 PM  ,AMRITA ARORA                                        ,300       ,PhonePe  Unknown     ,No     ,TRANSFER     ,                            ,
